### Префиксы/суффиксы

~а/л		* camp
~т/б		* resort
~д/о		* resort
~cан.		* resort
~п/л		* child.camp
~л.		gl. *
~лед.		gl. *
~р.		*
~оз.		l. *
~хр.		* range
~хребет		* range
~х р е б е т  	* range
~г.		*
~горы		* mountains
~г о р ы  	* mountains
~п л а т о  	* plateau
~лет.		*
~зим.		*
~коч.		*
~мог.		* grave
~мазар		mazar *
~разв.		* ruins
~ур.		*
~урочище	*
~у р о ч и щ е  	*
~ск.		* rock
~скалы		* rocks
~лощ.		* gully
~овр.		* gully
~ущ.		* gorge
~вдп.		* w.fall
~род.		* spr.
~каньон		* canyon
~(нежил.)	* (uninh.)
~рудник		* mine
~прииск		* mine
~месторождение	* mine
~месторожд.	* mine
~лес		* forest
~С.		* N
~Сев		* N
~Сев.		* N
~Ю.		* S
~Юж		* S
~Южн		* S
~Юж.		* S
~Южн.		* S
~В.		* E
~Вост		* E
~Вост.		* E
~З.		* W
~Зап		* W
~Зап.		* W
~Бол.		* Gr
~Мал.		* Sm
~Б.		* Gr
~М.		* Sm
~Лев.		* L
~Пр.		* R
~Прав.		* R
~Ц.		* C
~Центр.		* C
~Ложн.		* False
~Ниж.		* Lo
~Нижн.		* Lo
~Верх.		* Up
~Гл.		* Main

### разное
1А			1A
1Б			1B
2А			2A
2Б			2B
3А			3A
3Б			3B

Т0				T0
Т1				T1

4663км				4663km
4666км				4666km
5М				5M

лесн.				forestry
лет.				
зим.				
коч.				
сар.				
мазар				mazar
д/о				resort
cан.				resort
п/л				child.camp
г/лыж				ski resort
дет.лаг.			child.camp
бур.				mine
карьеры				mine
геол.				geol.
раб.пос.			work.settl.
шахт.пос.			geol.settl.
рыбхоз				fishfarm
разв.				ruins
мет.ст.				weath.st.
метеост.			weath.st.
аэродром			airfield
недейств.			defunct
скл.				warehouse
тун.				tun.
люлька				crossing
эл.ст.				p.plant
нарз.				min.spr.
вдп.				w.fall
З.				W
В.				E
Ю.				S
С.				N

### номера ледников
27				27
39				39
43				43
711				711
714				714
100				100
103				103
131				131
138?				138?
48				48
49				49
51				51
710				710
85				85
99				99
10				10
47				47

### Таджикский, Киргизский, прочие языки:
### транслитерация, иногда с попыткой разбивки на слова

Ёс				Yos
Ёс-Боло				Yos-Bolo
Абду				Abdu
Абдур				Abdur
Абисафедсай			Ob-e-Safed-Sai
Авдол				Avdol
Агашайтан			Agashaitan
Агмат				Agmat
Адаметмас			Adametmas
Адамташ				Adam-Tash
Адамташ				Adamtash
Адиджи				Adidzhi
Азорчашма			Azor-Chashma
Азорчашма			Azor-Chashma
Азрив				Azriv
Айбек				Aibek
Айбексай			Aibek-Sai
Айгыркуль			Aigyr-Kul
Айни				Aini
Ак-Суу				Ak-Suu
Ак-Тюбек			Ak-Tubek
Акбайрас			Akbairas
Акбали				Akbali
Акбали-2			Akbali-2
Акджар				Ak-Djar
Акибивору			Akibivoru
Аксай				Ak-Sai
Аксу				Ak-Suu
Аксу-Пиргаза			Aksu-Pirgaza
Аксу-Рама			Ak-Suu-Rama
Акташ				Ak-Tash
Акташтыкиры			Ak-Tash-Tykiry
Алакчин				Alakchin
Алан-Дервиш			Alan-Derwish
Алаудин				Alaudin
Алаудин (Мутные озера)		Alaudin (Mutnye)
Алаудинский			Alaudin
Алло				Allo
Алло (Сарыкуль)			Allo (Sary-Kul)
Аллоро				Alloro
Алмоси				Almosi
Алпамыш				Alpamish
Алхитай				Alhitai
Алхуч				Alhuch
Амсесарсай			Amsesar-Sai
Амшут				Amshut
Ангар				Angar
Ангарыкозы			Angarykozy
